Time,Q1,T1
0.0,0.0,24.443
1.0,0.0,24.443
2.0,0.0,24.443
3.0,0.0,24.443
4.0,0.0,24.443
5.0,0.0,24.443
6.0,0.0,24.443
7.0,0.0,24.443
8.0,0.0,24.443
9.0,0.0,24.443
10.0,0.0,24.443
11.0,0.0,24.443
12.0,0.0,24.443
13.0,0.0,24.443
14.0,0.0,24.443
15.0,0.0,24.443
16.0,0.0,24.443
17.0,0.0,24.443
18.0,0.0,24.443
19.0,0.0,24.443
20.0,100.0,24.443
21.0,100.0,24.443
22.0,100.0,24.443
23.0,100.0,24.54
24.0,100.0,24.766
25.0,100.0,24.927
26.0,100.0,25.088
27.0,100.0,25.41
28.0,100.0,25.732
29.0,100.0,26.055
30.0,100.0,26.409
31.0,100.0,27.021
32.0,100.0,27.344
33.0,100.0,27.988
34.0,100.0,28.343
35.0,100.0,28.955
36.0,100.0,29.567
37.0,100.0,30.019
38.0,100.0,30.599
39.0,100.0,31.211
40.0,100.0,31.855
41.0,0.0,32.5
42.0,0.0,33.145
43.0,0.0,33.757
44.0,0.0,34.434
45.0,0.0,34.756
46.0,0.0,35.368
47.0,0.0,35.723
48.0,0.0,36.045
49.0,0.0,36.367
50.0,0.0,36.689
51.0,0.0,37.012
52.0,0.0,37.334
53.0,0.0,37.624
54.0,0.0,37.656
55.0,0.0,37.979
56.0,0.0,37.979
57.0,0.0,38.204
58.0,0.0,38.301
59.0,0.0,38.301
60.0,100.0,38.301
61.0,100.0,38.494
62.0,100.0,38.623
63.0,100.0,38.623
64.0,100.0,38.623
65.0,100.0,38.945
66.0,100.0,38.945
67.0,100.0,39.268
68.0,100.0,39.59
69.0,100.0,39.912
70.0,100.0,40.202
71.0,100.0,40.557
72.0,100.0,40.879
73.0,100.0,41.201
74.0,100.0,41.62
75.0,100.0,42.168
76.0,100.0,42.555
77.0,100.0,42.941
78.0,100.0,43.457
79.0,100.0,43.812
80.0,100.0,44.424
81.0,100.0,44.811
82.0,100.0,45.391
83.0,100.0,45.906
84.0,100.0,46.357
85.0,100.0,47.002
86.0,100.0,47.324
87.0,100.0,47.969
88.0,100.0,48.388
89.0,100.0,48.936
90.0,100.0,49.322
91.0,0.0,49.902
92.0,0.0,50.418
93.0,0.0,50.869
94.0,0.0,51.191
95.0,0.0,51.804
96.0,0.0,52.158
97.0,0.0,52.48
98.0,0.0,52.771
99.0,0.0,52.835
100.0,0.0,53.125
101.0,0.0,53.125
102.0,0.0,53.157
103.0,0.0,53.189
104.0,0.0,53.222
105.0,0.0,53.286
106.0,0.0,53.125
107.0,0.0,53.125
108.0,0.0,53.125
109.0,0.0,53.125
110.0,0.0,53.125
111.0,0.0,52.803
112.0,0.0,52.803
113.0,0.0,52.48
114.0,0.0,52.48
115.0,0.0,52.158
116.0,0.0,52.094
